,title,rating,address,operating_hours,latitude,longitude,Cuisine
0,2 Much Sauce Food Truck,4.4,"1719 E 2nd St, Scotch Plains, NJ 07076","{'monday': 'Closed', 'tuesday': '12–10\u202fPM', 'wednesday': '12–10\u202fPM', 'thursday': '12–10\u202fPM', 'friday': '12–10\u202fPM', 'saturday': '12–10\u202fPM', 'sunday': '12–9\u202fPM'}",40.646096899999996,-74.399832,Chicken
1,Lil Zeus Food Truck,4.7,"112 W 50th St, New York, NY 10020","{'monday': '11\u202fAM–2:30\u202fPM', 'tuesday': '11\u202fAM–2:30\u202fPM', 'wednesday': '11\u202fAM–2:30\u202fPM', 'thursday': '11\u202fAM–2:30\u202fPM', 'friday': '11\u202fAM–2:30\u202fPM', 'saturday': 'Closed', 'sunday': 'Closed'}",40.7599732,-73.98118749999999,Greek
2,The Rolling Joint Food Truck,4.9,"Station Plaza, Wantagh, NY 11710","{'monday': 'Closed', 'tuesday': 'Closed', 'wednesday': 'Closed', 'thursday': '5:30–10:30\u202fPM', 'friday': '5:30\u202fPM–12:30\u202fAM', 'saturday': '5:30\u202fPM–12:30\u202fAM', 'sunday': '5:30–10:30\u202fPM'}",40.673386699999995,-73.50475639999999,American
3,Frenchy's Food Truck,4.9,"333 Eastern Pkwy, Brooklyn, NY 11216","{'monday': '6\u202fAM–2\u202fPM', 'tuesday': '6\u202fAM–2\u202fPM', 'wednesday': '6\u202fAM–2\u202fPM', 'thursday': '6\u202fAM–2\u202fPM', 'friday': '6\u202fAM–2\u202fPM', 'saturday': '7\u202fAM–3\u202fPM', 'sunday': 'Closed'}",40.670896,-73.9576266,Cafe
4,Steven food truck,4.1,"69- 04 Roosevelt Ave, Queens, NY 11372","{'monday': '11\u202fAM–5\u202fAM', 'tuesday': '11\u202fAM–5\u202fAM', 'wednesday': '10\u202fAM–5\u202fAM', 'thursday': '11\u202fAM–5\u202fAM', 'friday': '11\u202fAM–6\u202fAM', 'saturday': '11\u202fAM–12\u202fAM', 'sunday': 'Open 24 hours'}",40.7463207,-73.8960724,Mexican
5,Mi Sabor Boricua Food Truck,4.7,"215 Union Ave, Paterson, NJ 07502","{'monday': 'Closed', 'tuesday': 'Closed', 'wednesday': 'Closed', 'thursday': '12–7\u202fPM', 'friday': '12–9\u202fPM', 'saturday': '1–9\u202fPM', 'sunday': '1–6\u202fPM'}",40.916791499999995,-74.19253739999999,Puerto Rican
6,Punto Final Food Truck,4.9,"565 W 185th St, New York, NY 10033","{'monday': 'Closed', 'tuesday': 'Closed', 'wednesday': '6\u202fPM–4\u202fAM', 'thursday': '6\u202fPM–4\u202fAM', 'friday': '6\u202fPM–4\u202fAM', 'saturday': '6\u202fPM–4\u202fAM', 'sunday': '6\u202fPM–4\u202fAM'}",40.851512899999996,-73.93131249999999,Dominican
7,Morelos food truck,4.4,"160 N 7th St, Brooklyn, NY 11249",,40.717898399999996,-73.95800419999999,Mexican
8,Real Mexican (Food Truck),4.5,"124-160 N 6th St, Brooklyn, NY 11249","{'monday': '9\u202fAM–11\u202fPM', 'tuesday': '9\u202fAM–11\u202fPM', 'wednesday': '9\u202fAM–11\u202fPM', 'thursday': '9\u202fAM–11\u202fPM', 'friday': '9\u202fAM–11\u202fPM', 'saturday': '9\u202fAM–11\u202fPM', 'sunday': '9\u202fAM–11\u202fPM'}",40.7173276,-73.9584756,Mexican
10,Delio's Food Truck,4.6,"140 Reynolds Ave, Bronx, NY 10465","{'monday': '11\u202fAM–7\u202fPM', 'tuesday': '11\u202fAM–7\u202fPM', 'wednesday': '11\u202fAM–7\u202fPM', 'thursday': '11\u202fAM–7\u202fPM', 'friday': '11\u202fAM–7\u202fPM', 'saturday': '11\u202fAM–7\u202fPM', 'sunday': '12–6\u202fPM'}",40.816933299999995,-73.80668519999999,Fast Food
11,Authentic Greek Food Truck,4.5,"1274 Wantagh Ave, Wantagh, NY 11793","{'monday': 'Closed', 'tuesday': '12–8\u202fPM', 'wednesday': '12–8\u202fPM', 'thursday': '12–8\u202fPM', 'friday': '12–9\u202fPM', 'saturday': '12–9\u202fPM', 'sunday': '12–8\u202fPM'}",40.691369,-73.508404,Fast Food
14,Tajeen Halal Food Truck,4.3,"502 E 14th St, New York, NY 10009","{'monday': '10\u202fAM–4\u202fAM', 'tuesday': '10\u202fAM–4\u202fAM', 'wednesday': '10\u202fAM–4\u202fAM', 'thursday': '10\u202fAM–4\u202fAM', 'friday': '10\u202fAM–4\u202fAM', 'saturday': '10\u202fAM–4\u202fAM', 'sunday': '10\u202fAM–4\u202fAM'}",40.7300304,-73.97984,Middle Eastern
16,Maya Taco Truck,4.6,"143-2, 143-0 Jamaica Ave, Jamaica, NY 11435","{'monday': '7\u202fPM–3\u202fAM', 'tuesday': '7\u202fPM–3\u202fAM', 'wednesday': '7\u202fPM–3\u202fAM', 'thursday': '7\u202fPM–3\u202fAM', 'friday': '7\u202fPM–5\u202fAM', 'saturday': '7\u202fPM–5\u202fAM', 'sunday': '7\u202fPM–3\u202fAM'}",40.702335399999996,-73.8122047,Mexican
20,Tacos Cholula Food Truck,4.2,"75 Wall St, New York, NY 10005","{'monday': '11\u202fAM–9\u202fPM', 'tuesday': '11\u202fAM–9\u202fPM', 'wednesday': '11\u202fAM–9\u202fPM', 'thursday': '11\u202fAM–9\u202fPM', 'friday': '11\u202fAM–9\u202fPM', 'saturday': '11\u202fAM–9\u202fPM', 'sunday': '11\u202fAM–9\u202fPM'}",40.7051691,-74.00802399999999,Mexican
21,EL RANCHO FOOD TRUCK,4.3,"444 Doremus Ave, Newark, NJ 07105","{'monday': '7\u202fAM–5\u202fPM', 'tuesday': '7\u202fAM–5\u202fPM', 'wednesday': '7\u202fAM–5\u202fPM', 'thursday': '7\u202fAM–5\u202fPM', 'friday': '7\u202fAM–5\u202fPM', 'saturday': 'Closed', 'sunday': 'Closed'}",40.719579499999995,-74.1253729,Mexican
22,WHITE & HOT Halal Food Truck,4.5,"22-28 E 28th St, New York, NY 10016","{'monday': '9–9:45\u202fAM', 'tuesday': '9–9:45\u202fAM', 'wednesday': '9–9:45\u202fAM', 'thursday': '9–9:45\u202fAM', 'friday': '9–11\u202fAM', 'saturday': 'Closed', 'sunday': '9–9:45\u202fAM'}",40.7438378,-73.98599,Halal
23,Antojitos Carolina Food Truck,3.1,"2197 Westchester Ave, Bronx, NY 10462","{'monday': '11\u202fAM–5\u202fAM', 'tuesday': '11\u202fAM–5\u202fAM', 'wednesday': '11\u202fAM–5\u202fAM', 'thursday': '11\u202fAM–5\u202fAM', 'friday': '11\u202fAM–5\u202fAM', 'saturday': '11\u202fAM–5\u202fAM', 'sunday': '11\u202fAM–5\u202fAM'}",40.834300299999995,-73.85218019999999,Mexican
24,A La Carte Food Truck,4.9,"Summit St &, Warren St, Newark, NJ 07103","{'monday': '7\u202fAM–8\u202fPM', 'tuesday': '7\u202fAM–8\u202fPM', 'wednesday': '7\u202fAM–8\u202fPM', 'thursday': '7\u202fAM–8\u202fPM', 'friday': '7\u202fAM–8\u202fPM', 'saturday': 'Closed', 'sunday': 'Closed'}",40.741088999999995,-74.1785261,Fast Food
25,Desi Food Truck,4.0,"1221 6th Ave, New York, NY 10020","{'monday': '11:30\u202fAM–9\u202fPM', 'tuesday': '11:30\u202fAM–9\u202fPM', 'wednesday': '11:30\u202fAM–9\u202fPM', 'thursday': '11:30\u202fAM–9\u202fPM', 'friday': '11:30\u202fAM–3\u202fPM', 'saturday': '12–3\u202fPM', 'sunday': 'Closed'}",40.759185099999996,-73.9821128,Indian
